City_ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (Unix)
59,vao,NC,-22.6667,167.4833,71.73,80,32,15.55,1635017389
60,saint-philippe,RE,-21.3585,55.7679,73.47,82,82,12.62,1635017390
61,pushkinskiye gory,RU,57.0209,28.9103,38.41,96,100,11.03,1635017391
62,hobart,AU,-42.8794,147.3294,51.03,92,75,3,1635017144
63,colomi,BO,-17.35,-65.8667,82.42,66,80,11.41,1635017393
64,kendari,ID,-3.945,122.4989,75.2,93,100,3.2,1635017394
65,cidreira,BR,-30.1811,-50.2056,68.05,89,100,10.58,1635017342
66,coquimbo,CL,-29.9533,-71.3436,62.33,59,0,13.8,1635017365
67,codrington,AU,-38.2667,141.9667,47.61,79,40,12.75,1635017395
68,saint-pierre,RE,-21.3393,55.4781,73.56,83,0,5.75,1635017396
69,khor,RU,47.8861,134.9464,37.31,77,0,10.6,1635017397
70,marawi,PH,7.9986,124.2928,66.65,91,93,4,1635017398
71,myre,NO,69.1036,15.9492,37.35,72,95,13.85,1635017399
72,touros,BR,-5.1989,-35.4608,85.1,63,4,13.02,1635017399
73,hilo,US,19.7297,-155.09,77.25,96,90,7.18,1635017180
74,saint-francois,FR,46.4154,3.9054,40.44,88,0,2.3,1635017401
75,lompoc,US,34.6391,-120.4579,73.69,60,1,14.97,1635017361
76,santa ines,BR,-3.6667,-45.38,84.09,70,93,4.59,1635017403
77,lafayette,US,30.2335,-92.0668,84.97,65,75,1.01,1635017263
78,mikhaylovka,RU,50.06,43.2379,54.5,72,100,12.48,1635017405
79,hofn,IS,64.2539,-15.2082,45.16,94,97,7.02,1635017406
80,clarence town,AU,-32.5833,151.7833,65.8,94,60,6.73,1635017407
81,sampit,ID,-2.5333,112.95,74.17,98,69,0.65,1635017409
82,cachoeiras de macacu,BR,-22.4625,-42.6531,83.32,71,6,3.31,1635017410
83,victoria,HK,22.2855,114.1577,70.25,80,100,3,1635017411
84,kamenka,RU,51.3223,42.7678,45.64,78,10,7.38,1635017413
85,kapoeta,SS,4.7717,33.5903,84.24,37,31,5.59,1635017414
86,khatanga,RU,71.9667,102.5,10.11,93,100,16.87,1635017415
87,salalah,OM,17.0151,54.0924,77.09,73,0,3.44,1635017339
88,ponta do sol,PT,32.6667,-17.1,70.43,54,25,6.51,1635017416
89,qaanaaq,GL,77.484,-69.3632,-1.52,58,0,8.05,1635017417
90,hasaki,JP,35.7333,140.8333,39.6,50,1,7.61,1635017418
91,pringsewu,ID,-5.3582,104.9744,73.17,95,86,1.03,1635017419
92,san felipe,VE,10.3399,-68.7425,78.78,89,75,5.7,1635017420
93,lovozero,RU,68.005,35.0117,25.61,88,100,10.6,1635017420
94,lokosovo,RU,61.1333,74.8167,41.58,93,100,14.03,1635017421
95,valparaiso,CL,-33.0393,-71.6273,71.24,45,0,17.27,1635017357
96,esperance,AU,-33.8667,121.9,51.64,67,50,16.46,1635017423
97,puerto ayora,EC,-0.7393,-90.3518,78.76,83,100,9.73,1635017424
98,east london,ZA,-33.0153,27.9116,62.17,66,49,20.87,1635017424
99,mantua,IT,45.1667,10.7833,61.74,92,49,1.01,1635017426
100,sananduva,BR,-27.9497,-51.8067,59.4,98,100,11.3,1635017427
